structure d50
trjconv_1hsi_284.pdb 4.76725287771
trjconv_1hsi_221.pdb 4.34940225778
trjconv_1hsi_705.pdb 4.61984848236
trjconv_1hsi_532.pdb 4.91441756468
trjconv_1hsi_166.pdb 4.39670331044
trjconv_1hsi_956.pdb 5.42947511275
trjconv_1hsi_279.pdb 4.30779525976
trjconv_1hsi_598.pdb 4.74918940452
trjconv_1hsi_533.pdb 6.44510667096
trjconv_1hsi_713.pdb 4.72086856415
trjconv_1hsi_570.pdb 4.51336902989
trjconv_1hsi_218.pdb 4.43717252313
trjconv_1hsi_886.pdb 5.21434559653
trjconv_1hsi_716.pdb 4.94753473965
trjconv_1hsi_443.pdb 4.86194405562
trjconv_1hsi_222.pdb 5.14770822794
trjconv_1hsi_694.pdb 5.54109195015
trjconv_1hsi_170.pdb 6.5383254737
trjconv_1hsi_151.pdb 5.81447332095
trjconv_1hsi_691.pdb 4.98456617972
trjconv_1hsi_244.pdb 5.10471350812
trjconv_1hsi_344.pdb 5.21353047368
trjconv_1hsi_493.pdb 5.33776170319
trjconv_1hsi_803.pdb 5.16656559041
trjconv_1hsi_887.pdb 4.75903351533
trjconv_1hsi_805.pdb 5.21853427698
trjconv_1hsi_181.pdb 5.07035501716
trjconv_1hsi_336.pdb 4.35529562716
trjconv_1hsi_325.pdb 5.19816313711
trjconv_1hsi_577.pdb 6.07534361168
trjconv_1hsi_431.pdb 4.78709724154
trjconv_1hsi_725.pdb 5.08098415664
trjconv_1hsi_515.pdb 4.65302052435
trjconv_1hsi_479.pdb 4.80930348387
trjconv_1hsi_346.pdb 4.44928084077
trjconv_1hsi_161.pdb 4.79689482895
trjconv_1hsi_669.pdb 4.58557520928
trjconv_1hsi_904.pdb 4.50458655151
trjconv_1hsi_627.pdb 4.66230629624
trjconv_1hsi_421.pdb 4.44788713886
trjconv_1hsi_775.pdb 5.08610853207
trjconv_1hsi_814.pdb 6.12697315157
trjconv_1hsi_511.pdb 4.85101020407
trjconv_1hsi_355.pdb 5.05052472521
trjconv_1hsi_77.pdb 4.84696812451
trjconv_1hsi_963.pdb 5.07874984617
trjconv_1hsi_767.pdb 5.11
trjconv_1hsi_982.pdb 4.7714148845
trjconv_1hsi_685.pdb 5.22465309853
trjconv_1hsi_184.pdb 5.11697176072
trjconv_1hsi_432.pdb 5.11114468588
trjconv_1hsi_703.pdb 6.31850456991
trjconv_1hsi_204.pdb 4.93188604897
trjconv_1hsi_140.pdb 4.82035268419
trjconv_1hsi_769.pdb 5.0294930162
trjconv_1hsi_155.pdb 5.04936629687
trjconv_1hsi_829.pdb 4.86368173301
trjconv_1hsi_654.pdb 5.04587950708
trjconv_1hsi_114.pdb 5.27831412479
trjconv_1hsi_109.pdb 5.36470875258
trjconv_1hsi_34.pdb 4.52985650987
trjconv_1hsi_729.pdb 5.29280643893
trjconv_1hsi_86.pdb 5.13968870653
trjconv_1hsi_950.pdb 5.01478813112
trjconv_1hsi_134.pdb 4.7819870347
trjconv_1hsi_415.pdb 4.93694237357
trjconv_1hsi_176.pdb 6.62440185979
trjconv_1hsi_946.pdb 7.9760892673
trjconv_1hsi_227.pdb 4.828001657
trjconv_1hsi_139.pdb 4.54080389359
trjconv_1hsi_652.pdb 4.8192634292
trjconv_1hsi_882.pdb 4.95068682104
trjconv_1hsi_185.pdb 4.92988843687
trjconv_1hsi_988.pdb 4.69282430952
trjconv_1hsi_70.pdb 5.32000939849
trjconv_1hsi_920.pdb 4.21670487466
trjconv_1hsi_688.pdb 5.71765686274
trjconv_1hsi_968.pdb 4.78006276109
trjconv_1hsi_903.pdb 5.00695516257
trjconv_1hsi_546.pdb 4.34922981688
trjconv_1hsi_428.pdb 5.13070170639
trjconv_1hsi_845.pdb 4.13943232823
trjconv_1hsi_43.pdb 5.47790105789
trjconv_1hsi_899.pdb 4.83303217453
trjconv_1hsi_0.pdb 4.68877382692
trjconv_1hsi_517.pdb 4.18413670905
trjconv_1hsi_403.pdb 4.73828027875
trjconv_1hsi_730.pdb 4.61810567224
trjconv_1hsi_44.pdb 4.99020039678
trjconv_1hsi_632.pdb 4.98956911967
trjconv_1hsi_499.pdb 4.73583150038
trjconv_1hsi_853.pdb 5.31376514347
trjconv_1hsi_274.pdb 5.31491298141
trjconv_1hsi_682.pdb 4.48640167618
trjconv_1hsi_951.pdb 4.94506825029
trjconv_1hsi_955.pdb 5.13740206719
trjconv_1hsi_311.pdb 4.77612813898
trjconv_1hsi_72.pdb 5.54052344098
trjconv_1hsi_601.pdb 4.90828890755
trjconv_1hsi_772.pdb 4.59411580176
trjconv_1hsi_858.pdb 4.88280657
trjconv_1hsi_545.pdb 4.84677212173
trjconv_1hsi_497.pdb 4.28347989373
trjconv_1hsi_45.pdb 4.94556366858
trjconv_1hsi_699.pdb 4.93564585439
trjconv_1hsi_368.pdb 4.95795320672
trjconv_1hsi_864.pdb 5.81393154414
trjconv_1hsi_292.pdb 4.98166638787
trjconv_1hsi_471.pdb 4.77069177374
trjconv_1hsi_774.pdb 4.8273595267
trjconv_1hsi_17.pdb 4.83542138805
trjconv_1hsi_604.pdb 4.76841692808
trjconv_1hsi_606.pdb 5.60044641078
trjconv_1hsi_425.pdb 5.4154224212
trjconv_1hsi_48.pdb 4.90801385491
trjconv_1hsi_380.pdb 5.24375819427
trjconv_1hsi_262.pdb 5.66728329978
trjconv_1hsi_733.pdb 5.11285634455
trjconv_1hsi_105.pdb 5.10729869892
trjconv_1hsi_812.pdb 5.30522384071
trjconv_1hsi_758.pdb 4.66587612352
trjconv_1hsi_266.pdb 4.50089991002
trjconv_1hsi_272.pdb 5.32730701199
trjconv_1hsi_481.pdb 4.56964987718
trjconv_1hsi_339.pdb 5.05597666134
trjconv_1hsi_3.pdb 5.26219535935
trjconv_1hsi_289.pdb 4.73727769927
trjconv_1hsi_205.pdb 4.68194404067
trjconv_1hsi_539.pdb 4.9807328778
trjconv_1hsi_473.pdb 4.91236195735
trjconv_1hsi_40.pdb 4.87214531803
trjconv_1hsi_631.pdb 5.40989833546
trjconv_1hsi_424.pdb 4.99605844642
trjconv_1hsi_445.pdb 4.47830325012
trjconv_1hsi_359.pdb 4.580109169
trjconv_1hsi_564.pdb 4.92245873523
trjconv_1hsi_353.pdb 5.29226794484
trjconv_1hsi_371.pdb 4.59504080504
trjconv_1hsi_736.pdb 5.28133505849
trjconv_1hsi_827.pdb 4.70766396422
trjconv_1hsi_608.pdb 4.63885761799
trjconv_1hsi_915.pdb 5.11552538846
trjconv_1hsi_401.pdb 4.86260218402
trjconv_1hsi_811.pdb 6.2802706948
trjconv_1hsi_673.pdb 6.29225714668
trjconv_1hsi_960.pdb 4.71791267405
trjconv_1hsi_599.pdb 4.712260604
trjconv_1hsi_868.pdb 5.12285076886
trjconv_1hsi_258.pdb 4.59553043728
trjconv_1hsi_215.pdb 4.9619955663
trjconv_1hsi_9.pdb 4.46476203173
trjconv_1hsi_457.pdb 4.05246838359
trjconv_1hsi_80.pdb 4.7701362664
trjconv_1hsi_888.pdb 4.93345720565
trjconv_1hsi_508.pdb 4.96774596774
trjconv_1hsi_38.pdb 4.93405512738
trjconv_1hsi_407.pdb 4.93756012622
trjconv_1hsi_642.pdb 5.12258723693
trjconv_1hsi_836.pdb 5.16434894251
trjconv_1hsi_97.pdb 4.51579450374
trjconv_1hsi_966.pdb 4.35139058233
trjconv_1hsi_534.pdb 5.45191709401
trjconv_1hsi_889.pdb 4.99315531503
trjconv_1hsi_799.pdb 4.8171568378
trjconv_1hsi_433.pdb 5.38914650014
trjconv_1hsi_931.pdb 4.96005040297
trjconv_1hsi_365.pdb 5.16911017488
trjconv_1hsi_306.pdb 4.64436217365
trjconv_1hsi_225.pdb 8.68553970689
trjconv_1hsi_762.pdb 5.12419749815
trjconv_1hsi_880.pdb 4.44444597222
trjconv_1hsi_579.pdb 5.96958960063
trjconv_1hsi_905.pdb 4.92320017875
trjconv_1hsi_270.pdb 5.78670890922
trjconv_1hsi_35.pdb 4.33683064
trjconv_1hsi_697.pdb 4.65395530705
trjconv_1hsi_141.pdb 4.78778654495
trjconv_1hsi_116.pdb 4.64608437289
trjconv_1hsi_837.pdb 4.07240715057
trjconv_1hsi_999.pdb 4.50937911469
trjconv_1hsi_201.pdb 4.66412907197
trjconv_1hsi_846.pdb 4.55921045796
trjconv_1hsi_216.pdb 5.05820126132
trjconv_1hsi_906.pdb 4.79526850135
trjconv_1hsi_47.pdb 4.52698575213
trjconv_1hsi_1.pdb 4.02543165387
trjconv_1hsi_23.pdb 4.75330411398
trjconv_1hsi_620.pdb 6.21930060377
trjconv_1hsi_87.pdb 4.84170424541
trjconv_1hsi_524.pdb 5.21797853579
trjconv_1hsi_835.pdb 5.78019030829
trjconv_1hsi_62.pdb 4.72747289786
trjconv_1hsi_840.pdb 4.77318551913
trjconv_1hsi_367.pdb 4.74714651133
trjconv_1hsi_468.pdb 5.23211238411
trjconv_1hsi_752.pdb 4.74119183328
trjconv_1hsi_315.pdb 4.50134424367
trjconv_1hsi_217.pdb 5.46553748501
